sido_sgg,locatadd_nm,avg_area,avg_price
11680,서울특별시 강남구,89.12744065685165,2767.290378441347
11740,서울특별시 강동구,70.21427193460491,1463.542835843403
11305,서울특별시 강북구,71.09438354725788,872.5308269738366
11500,서울특별시 강서구,70.92007963917526,1165.2546138162584
11620,서울특별시 관악구,73.50180779310345,1028.1720856895924
11215,서울특별시 광진구,75.62505838323352,1560.6093520633713
11530,서울특별시 구로구,70.87598497480532,950.3935547747292
11545,서울특별시 금천구,70.33629368863954,903.0410382624669
11350,서울특별시 노원구,64.0564352088022,964.7651559017692
11320,서울특별시 도봉구,70.6501422646478,784.991065397796
11230,서울특별시 동대문구,69.84986603529917,1167.9191738869479
11590,서울특별시 동작구,78.3040017047817,1491.8621444635255
11440,서울특별시 마포구,76.63784922360247,1705.5730474206118
11410,서울특별시 서대문구,72.37706400184844,1285.3588159280762
11650,서울특별시 서초구,92.38632098471986,2796.3880882635717
11200,서울특별시 성동구,77.74542720887246,1840.2915989149203
11290,서울특별시 성북구,74.6460070041609,1082.0298137614327
11710,서울특별시 송파구,83.94296442968935,2046.4793121042767
11470,서울특별시 양천구,79.45480008100445,1511.028646055747
11560,서울특별시 영등포구,77.78640298141003,1505.888355243652
11170,서울특별시 용산구,98.32251120772948,2255.4843680278263
11380,서울특별시 은평구,71.76052720440882,1096.3789979811363
11110,서울특별시 종로구,78.84291279069767,1421.3540827183685
11140,서울특별시 중구,74.5293714987715,1442.6942161917846
11260,서울특별시 중랑구,69.3075594232059,914.0447890493712
